Word(s),Spoken Form (If Different)
Bayesian,asian
COVID-19
DFO
DNS
S F U, SFU
SFU
Stan, stan
Stan, stand
U B C, UBC
UBC
VPN
aesthetic
aesthetics
black swan
black swans
black-swan events, black swan events
closed-loop simulations, closed loop simulations
coronavirus
csasdown, css down
data
diversification
ensemble
ggplot, g g plot
indices
layout
spatial
spatial
spatially
spatially, specially
spatiotemporal,spatio temporal
ss3sim
ss3sim, as as three sim
ss3sim, assess three sim
submission, submision
superensembles
superensembles,super ensembles
